reps_at_RPE_10,DDS_low,DDS_high
1,1.0000,1.0000
1.5,0.9828,0.9904
2,0.9657,0.9810
2.5,0.9489,0.9716
3,0.9323,0.9623
3.5,0.9160,0.9532
4,0.8999,0.9441
4.5,0.8840,0.9352
5,0.8684,0.9263
5.5,0.8530,0.9175
6,0.8379,0.9088
6.5,0.8230,0.9002
7,0.8084,0.8917
7.5,0.7941,0.8833
8,0.7800,0.8750
8.5,0.7661,0.8667
9,0.7525,0.8585
9.5,0.7391,0.8504
10,0.7260,0.8424
10.5,0.7132,0.8345
11,0.7006,0.8266
11.5,0.6882,0.8188
12,0.6760,0.8111
12.5,0.6641,0.8035
13,0.6525,0.7959
13.5,0.6411,0.7884
14,0.6298,0.7810
14.5,0.6189,0.7737
15,0.6081,0.7664
15.5,0.5975,0.7592
16,0.5872,0.7520
16.5,0.5771,0.7449
17,0.5671,0.7379
17.5,0.5574,0.7310
18,0.5479,0.7241
18.5,0.5386,0.7173
19,0.5294,0.7105
19.5,0.5204,0.7038
20,0.5116,0.6972
20.5,0.5030,0.6906
21,0.4946,0.6841
21.5,0.4863,0.6776
22,0.4782,0.6712
22.5,0.4703,0.6648
23,0.4625,0.6585
23.5,0.4549,0.6523
24,0.4474,0.6461
24.5,0.4401,0.6400
25,0.4329,0.6339
25.5,0.4258,0.6279
26,0.4189,0.6219
26.5,0.4121,0.6160
27,0.4055,0.6101
27.5,0.3990,0.6043
28,0.3926,0.5986
28.5,0.3863,0.5929
29,0.3802,0.5872
29.5,0.3742,0.5816
30,0.3682,0.5760
30.5,0.3624,0.5705
31,0.3567,0.5650
31.5,0.3511,0.5596
32,0.3457,0.5542
32.5,0.3403,0.5489
33,0.3350,0.5436
33.5,0.3298,0.5384
34,0.3247,0.5332
34.5,0.3197,0.5281
35,0.3148,0.5230
35.5,0.3100,0.5179
36,0.3053,0.5129
36.5,0.3006,0.5079
37,0.2961,0.5030
37.5,0.2916,0.4981
38,0.2872,0.4933
38.5,0.2829,0.4885
39,0.2786,0.4837
39.5,0.2744,0.4790
40,0.2703,0.4743


